mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_N,param_chi,param_mu,param_selection_method,param_theta_sel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.719113190968831,0.13611268923918585,0.07850941022237141,0.005848544815269095,91,0.2,0.04,tournament,0.25,"{'N': 91, 'chi': 0.2, 'mu': 0.04, 'selection_method': 'tournament', 'theta_sel': 0.25}",0.8701353047844888,0.7740270609568978,0.9301029159519726,0.8578114484283471,0.06425247162232686,88
4.279060363769531,0.20181955274621252,0.0722521146138509,0.005906580628644849,91,0.2,0.04,tournament,0.5,"{'N': 91, 'chi': 0.2, 'mu': 0.04, 'selection_method': 'tournament', 'theta_sel': 0.5}",0.8188729250941553,0.8328916166829404,0.8827901658090338,0.8447056515160932,0.02738173182253292,93
4.678273280461629,0.4161955635286505,0.08270851771036784,0.010904688105269912,91,0.2,0.04,tournament,0.75,"{'N': 91, 'chi': 0.2, 'mu': 0.04, 'selection_method': 'tournament', 'theta_sel': 0.75}",0.8720881573441205,0.7515692565211327,0.9282447112635792,0.8503355391344033,0.07368953182202324,89
5.086366653442383,0.35786111355493244,0.0965572992960612,0.0038757535334254705,91,0.2,0.04,roulette,0.25,"{'N': 91, 'chi': 0.2, 'mu': 0.04, 'selection_method': 'roulette', 'theta_sel': 0.25}",0.940228762728414,0.8404240479843772,0.8201829616923957,0.8671251124521494,0.0524944506382097,84
5.1209830443064375,0.1885147073422581,0.08666125933329265,0.004948207505818893,91,0.2,0.04,roulette,0.5,"{'N': 91, 'chi': 0.2, 'mu': 0.04, 'selection_method': 'roulette', 'theta_sel': 0.5}",0.858139210489608,0.8730645836239364,0.9196683819325329,0.8834854266695238,0.026160075401201688,82
5.026628017425537,0.1923569406681323,0.08340867360432942,0.0021710757682328347,91,0.2,0.04,roulette,0.75,"{'N': 91, 'chi': 0.2, 'mu': 0.04, 'selection_method': 'roulette', 'theta_sel': 0.75}",0.9047286929836797,0.8515832054679872,0.9016580903373357,0.8859297343627149,0.024388929334174317,81
5.739001989364624,0.21958893102413074,0.09466433525085449,0.004703436047065462,91,0.2,0.1,tournament,0.25,"{'N': 91, 'chi': 0.2, 'mu': 0.1, 'selection_method': 'tournament', 'theta_sel': 0.25}",0.8935695355000697,0.8290556562979494,0.8279016580903373,0.8502612857007565,0.03071554313927948,90
5.979533751805623,0.19151446421790866,0.08745368321736653,0.002851529167146518,91,0.2,0.1,tournament,0.5,"{'N': 91, 'chi': 0.2, 'mu': 0.1, 'selection_method': 'tournament', 'theta_sel': 0.5}",0.854303250104617,0.8282187194866788,0.8639222412807319,0.8487566311714834,0.015083522874760202,92
5.92471710840861,0.10047988498822098,0.08847689628601074,0.004921759091789633,91,0.2,0.1,tournament,0.75,"{'N': 91, 'chi': 0.2, 'mu': 0.1, 'selection_method': 'tournament', 'theta_sel': 0.75}",0.8925931092202539,0.8357511507881155,0.9423956546598056,0.8900460650825824,0.04353231459842037,75
5.831419070561727,0.1652631295817917,0.09027163187662761,0.008191938177129933,91,0.2,0.1,roulette,0.25,"{'N': 91, 'chi': 0.2, 'mu': 0.1, 'selection_method': 'roulette', 'theta_sel': 0.25}",0.8132933463523504,0.7376203096666202,0.8354774156660949,0.7953097916189792,0.041898908896230956,95
5.690977493921916,0.056074859435035825,0.08831048011779785,0.009584451296998232,91,0.2,0.1,roulette,0.5,"{'N': 91, 'chi': 0.2, 'mu': 0.1, 'selection_method': 'roulette', 'theta_sel': 0.5}",0.8337285534942112,0.8132236016180778,0.900800457404231,0.8490526031982039,0.037334640078385405,91
5.5090720653533936,0.28445857788764806,0.0946649710337321,0.005498679767062002,91,0.2,0.1,roulette,0.75,"{'N': 91, 'chi': 0.2, 'mu': 0.1, 'selection_method': 'roulette', 'theta_sel': 0.75}",0.9047286929836797,0.787208815734412,0.7987421383647799,0.8303476429147887,0.052956458735270336,94
4.965073029200236,0.29352125847312155,0.08528629938761394,0.0026742192005669916,91,0.8,0.04,tournament,0.25,"{'N': 91, 'chi': 0.8, 'mu': 0.04, 'selection_method': 'tournament', 'theta_sel': 0.25}",0.7629376482075603,0.6807783512344818,0.8384791309319611,0.7604326815831012,0.06434259076664375,96
5.169675747553508,0.20776924906590394,0.08133983612060547,0.004151095617401141,91,0.8,0.04,tournament,0.5,"{'N': 91, 'chi': 0.8, 'mu': 0.04, 'selection_method': 'tournament', 'theta_sel': 0.5}",0.9318593946157065,0.7563118984516669,0.9073756432246998,0.8650200300545604,0.077734143013387,85
5.131097634633382,0.36245196481329783,0.09004672368367513,0.0017228709456298334,91,0.8,0.04,tournament,0.75,"{'N': 91, 'chi': 0.8, 'mu': 0.04, 'selection_method': 'tournament', 'theta_sel': 0.75}",0.8459338819919096,0.8814339517366439,0.9461120640365923,0.8909486116981964,0.04141092901288732,74
5.074246327082316,0.09443216349426843,0.0905923843383789,0.004673979727933661,91,0.8,0.04,roulette,0.25,"{'N': 91, 'chi': 0.8, 'mu': 0.04, 'selection_method': 'roulette', 'theta_sel': 0.25}",0.9019389036127772,0.8543729948388896,0.9584048027444254,0.9046998007742908,0.04247439083159389,66
5.428741534550984,0.018825081208188755,0.09261504809061687,0.005639936287761267,91,0.8,0.04,roulette,0.5,"{'N': 91, 'chi': 0.8, 'mu': 0.04, 'selection_method': 'roulette', 'theta_sel': 0.5}",0.9103082717254847,0.8423071558097364,0.91295025728988,0.8884279397018997,0.03272418357137553,78
